Dataset,Accuracy,Time in seconds
ArticularyWordRecognition,0.97,7.064239740371704
AtrialFibrillation,0.3333333333333333,0.3316478729248047
BasicMotions,0.975,0.4076995849609375
CharacterTrajectories,0.9596100278551533,35.541616916656494
Cricket,0.9861111111111112,11.6868155002594
DuckDuckGeese,0.26,280.9789159297943
EigenWorms,0.8320610687022901,201.39926648139954
Epilepsy,0.9710144927536232,1.1108756065368652
EthanolConcentration,0.49809885931558934,15.707303047180176
ERing,0.9592592592592593,0.507617712020874
FaceDetection,0.5967650397275823,1405.0645554065704
FingerMovements,0.6,18.92720913887024
HandMovementDirection,0.43243243243243246,5.782211065292358
Handwriting,0.3764705882352941,2.8761205673217773
Heartbeat,0.7170731707317073,77.26120734214783
InsectWingbeat,0.24432,4651.089022159576
JapaneseVowels,0.6459459459459459,5.487859487533569
Libras,0.6111111111111112,0.29189562797546387
LSST,0.540551500405515,27.985320329666138
MotorImagery,0.5,475.2896909713745
NATOPS,0.7611111111111111,3.017820358276367
PenDigits,0.8922241280731846,13.128644466400146
PEMS-SF,0.9595375722543352,522.1503260135651
PhonemeSpectra,0.2881002087682672,149.38661813735962
RacketSports,0.881578947368421,0.4197068214416504
SelfRegulationSCP1,0.856655290102389,19.385133743286133
SelfRegulationSCP2,0.5388888888888889,19.5462327003479
SpokenArabicDigits,0.9499772623919963,134.34959316253662
StandWalkJump,0.4,1.914865255355835
UWaveGestureLibrary,0.88125,2.4602017402648926
